time,Open,High,Low,Close,Volume,SPY_Close,VIX_Close
2025-06-09 16:30:00,49.57,49.74,49.19,49.19,82,49.19,15.0
2025-06-09 16:45:00,49.26,49.37,49.08,49.16,74,49.16,15.0
2025-06-09 17:00:00,49.17,49.39,48.95,49.28,81,49.28,15.0
2025-06-09 17:15:00,49.33,49.49,49.32,49.33,144,49.33,15.0
2025-06-09 17:30:00,49.34,49.51,49.19,49.19,129,49.19,15.0
2025-06-09 17:45:00,49.23,49.45,49.21,49.45,125,49.45,15.0
2025-06-09 18:00:00,49.42,49.87,49.41,49.83,152,49.83,15.0
2025-06-09 18:15:00,49.82,49.82,49.66,49.8,71,49.8,15.0
2025-06-09 18:30:00,49.81,49.87,49.73,49.8,47,49.8,15.0
2025-06-09 18:45:00,49.81,49.9,49.75,49.76,52,49.76,15.0
2025-06-09 19:00:00,49.77,49.86,49.74,49.76,47,49.76,15.0
2025-06-09 19:15:00,49.73,49.87,49.73,49.84,88,49.84,15.0
2025-06-09 19:30:00,49.83,49.85,49.71,49.83,98,49.83,15.0
2025-06-09 19:45:00,49.87,50.17,49.87,50.06,117,50.06,15.0
2025-06-09 20:00:00,50.09,50.26,50.05,50.24,87,50.24,15.0
2025-06-09 20:15:00,50.27,50.46,50.21,50.35,148,50.35,15.0
2025-06-09 20:30:00,50.34,50.55,50.32,50.55,64,50.55,15.0
2025-06-09 20:45:00,50.52,50.56,50.44,50.44,83,50.44,15.0
2025-06-09 21:00:00,50.43,50.43,50.04,50.11,144,50.11,15.0
2025-06-09 21:15:00,50.12,50.32,50.12,50.31,115,50.31,15.0
2025-06-09 21:30:00,50.29,50.32,50.24,50.24,87,50.24,15.0
2025-06-09 21:45:00,50.26,50.29,50.19,50.28,103,50.28,15.0
2025-06-09 22:00:00,50.26,50.27,50.05,50.1,179,50.1,15.0
2025-06-09 22:15:00,50.13,50.14,50.02,50.1,204,50.1,15.0
2025-06-09 22:30:00,50.09,50.14,49.94,49.94,251,49.94,15.0
2025-06-09 22:45:00,49.93,50.06,49.85,49.88,1301,49.88,15.0
2025-06-09 23:00:00,49.88,49.88,49.88,49.88,189,49.88,15.0
2025-06-10 16:30:00,50.52,51.49,49.95,50.05,147,50.05,15.0
2025-06-10 16:45:00,50.04,50.51,49.96,50.51,157,50.51,15.0
2025-06-10 17:00:00,50.49,50.66,50.24,50.39,1156,50.39,15.0
2025-06-10 17:15:00,50.43,50.9,50.22,50.77,1209,50.77,15.0
