<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.01.03	01:00:00	16358.6	16419.9	16358.6	16375.1	1469	0	19
2022.01.03	01:15:00	16375.1	16390.0	16373.4	16382.8	871	0	19
2022.01.03	01:30:00	16382.7	16383.8	16372.2	16379.7	610	0	19
2022.01.03	01:45:00	16379.7	16390.2	16378.3	16386.3	519	0	19
2022.01.03	02:00:00	16386.9	16395.5	16386.9	16387.6	613	0	19
2022.01.03	02:15:00	16387.7	16401.3	16383.8	16400.5	720	0	19
2022.01.03	02:30:00	16399.8	16413.3	16399.3	16409.6	805	0	19
2022.01.03	02:45:00	16409.8	16419.8	16406.4	16415.5	739	0	19
2022.01.03	03:00:00	16415.5	16426.6	16409.6	16419.9	884	0	19
2022.01.03	03:15:00	16419.9	16424.6	16416.4	16418.4	921	0	19
2022.01.03	03:30:00	16418.5	16422.5	16401.6	16405.9	1373	0	19
2022.01.03	03:45:00	16406.0	16408.0	16398.4	16402.0	1203	0	19
2022.01.03	04:00:00	16402.0	16405.8	16392.8	16403.2	1261	0	19
2022.01.03	04:15:00	16403.7	16403.8	16397.9	16400.2	771	0	19
2022.01.03	04:30:00	16400.2	16412.4	16399.2	16409.3	830	0	19
2022.01.03	04:45:00	16409.3	16415.7	16405.5	16415.4	677	0	19
2022.01.03	05:00:00	16415.2	16417.2	16402.5	16404.7	657	0	19
2022.01.03	05:15:00	16404.8	16409.3	16401.0	16408.1	549	0	19
2022.01.03	05:30:00	16408.1	16410.1	16399.7	16406.0	490	0	19
2022.01.03	05:45:00	16406.0	16407.7	16402.2	16406.1	397	0	19
2022.01.03	06:00:00	16406.1	16407.1	16402.0	16403.0	400	0	19
2022.01.03	06:15:00	16403.0	16406.5	16402.6	16404.8	291	0	19
2022.01.03	06:30:00	16404.8	16406.8	16404.2	16406.3	218	0	19
2022.01.03	06:45:00	16406.3	16409.6	16403.9	16409.6	417	0	19
2022.01.03	07:00:00	16409.6	16411.0	16401.6	16406.2	554	0	19
2022.01.03	07:15:00	16406.3	16408.9	16403.9	16406.9	341	0	19
2022.01.03	07:30:00	16406.9	16412.9	16404.5	16411.5	369	0	19
2022.01.03	07:45:00	16411.2	16411.5	16406.4	16406.7	420	0	19
2022.01.03	08:00:00	16406.9	16411.6	16391.8	16395.3	666	0	19
2022.01.03	08:15:00	16395.6	16402.2	16391.0	16400.7	564	0	19
2022.01.03	08:30:00	16400.7	16404.0	16384.3	16394.3	814	0	19
2022.01.03	08:45:00	16394.3	16400.8	16390.0	16398.4	487	0	19
2022.01.03	09:00:00	16398.4	16399.6	16386.3	16388.3	692	0	19
2022.01.03	09:15:00	16388.3	16393.6	16382.9	16389.8	601	0	19
2022.01.03	09:30:00	16389.8	16391.6	16384.2	16390.9	561	0	19
2022.01.03	09:45:00	16390.9	16401.9	16389.3	16398.8	754	0	19
