<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.01.03	01:00:00	15857.2	15866.8	15855.9	15855.9	304	0	72
2022.01.03	01:15:00	15855.9	15870.0	15855.9	15862.5	247	0	72
2022.01.03	01:30:00	15862.5	15863.4	15853.4	15857.6	212	0	72
2022.01.03	01:45:00	15857.6	15864.2	15855.9	15861.7	174	0	72
2022.01.03	02:15:00	15889.4	15937.2	15875.9	15937.2	222	0	37
2022.01.03	02:30:00	15934.2	15934.7	15910.7	15919.7	144	0	37
2022.01.03	02:45:00	15919.7	15927.2	15919.7	15925.2	74	0	37
2022.01.03	03:00:00	15925.2	15937.2	15921.7	15936.2	86	0	37
2022.01.03	03:15:00	15937.2	15938.7	15924.7	15924.7	39	0	37
2022.01.03	03:30:00	15924.7	15929.7	15880.2	15890.7	119	0	37
2022.01.03	03:45:00	15890.7	15899.7	15880.7	15883.7	120	0	37
2022.01.03	04:00:00	15883.7	15883.7	15857.2	15872.2	209	0	37
2022.01.03	04:15:00	15872.2	15879.2	15866.7	15871.7	96	0	37
2022.01.03	04:30:00	15873.2	15893.7	15873.2	15886.7	72	0	37
2022.01.03	04:45:00	15890.7	15891.7	15879.2	15885.2	54	0	37
2022.01.03	05:00:00	15886.2	15886.7	15869.2	15869.7	62	0	37
2022.01.03	05:15:00	15871.2	15874.7	15864.2	15873.7	65	0	37
2022.01.03	05:30:00	15876.2	15876.2	15863.7	15869.2	78	0	37
2022.01.03	05:45:00	15869.2	15879.7	15863.2	15879.7	54	0	37
2022.01.03	06:00:00	15879.2	15881.7	15873.2	15876.7	49	0	37
2022.01.03	06:15:00	15876.7	15883.2	15876.2	15877.7	35	0	37
2022.01.03	06:30:00	15877.2	15879.7	15877.2	15878.7	13	0	37
2022.01.03	06:45:00	15878.7	15882.2	15872.2	15881.7	58	0	37
2022.01.03	07:00:00	15881.7	15885.7	15877.2	15877.2	65	0	37
2022.01.03	07:15:00	15875.7	15878.7	15870.2	15878.2	26	0	37
2022.01.03	07:30:00	15878.2	15885.7	15876.2	15881.7	27	0	37
2022.01.03	07:45:00	15883.7	15885.2	15875.7	15883.2	37	0	37
2022.01.03	08:00:00	15883.2	15891.7	15877.7	15878.7	118	0	37
2022.01.03	08:15:00	15879.7	15883.2	15870.7	15872.7	81	0	37
2022.01.03	08:30:00	15872.7	15891.2	15871.7	15883.2	141	0	37
2022.01.03	08:45:00	15883.2	15906.2	15882.7	15906.2	113	0	37
2022.01.03	09:00:00	15905.7	15923.7	15898.4	15900.4	442	0	17
2022.01.03	09:15:00	15900.4	15900.9	15872.9	15883.4	320	0	17
2022.01.03	09:30:00	15883.4	15888.7	15875.7	15887.7	317	0	17
2022.01.03	09:45:00	15887.7	15948.7	15882.7	15924.2	539	0	17
