<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.01.04	00:00:00	7413.8	7414.9	7413.8	7414.8	24	0	40
2022.01.04	00:15:00	7414.7	7415.3	7414.5	7415.2	24	0	40
2022.01.04	00:30:00	7415.1	7415.3	7414.9	7415.2	20	0	40
2022.01.04	00:45:00	7414.8	7415.0	7413.0	7414.3	22	0	40
2022.01.04	01:00:00	7414.0	7417.6	7413.4	7416.2	265	0	40
2022.01.04	01:15:00	7416.4	7416.7	7413.7	7413.8	111	0	40
2022.01.04	01:30:00	7414.0	7414.4	7411.6	7414.3	245	0	40
2022.01.04	01:45:00	7414.7	7414.8	7410.7	7411.9	212	0	40
2022.01.04	02:00:00	7412.3	7413.5	7409.2	7412.6	421	0	40
2022.01.04	02:15:00	7412.5	7413.7	7409.0	7411.4	306	0	40
2022.01.04	02:30:00	7410.7	7412.5	7407.0	7410.6	213	0	40
2022.01.04	02:45:00	7411.4	7427.3	7411.4	7423.2	309	0	40
2022.01.04	03:00:00	7422.4	7464.3	7421.1	7439.3	231	0	30
2022.01.04	03:15:00	7439.6	7439.8	7433.6	7433.8	91	0	30
2022.01.04	03:30:00	7433.6	7435.8	7427.8	7431.1	317	0	30
2022.01.04	03:45:00	7430.8	7434.6	7424.6	7424.6	191	0	30
2022.01.04	04:00:00	7425.1	7427.3	7423.6	7426.3	167	0	30
2022.01.04	04:15:00	7426.6	7428.1	7424.3	7427.8	152	0	30
2022.01.04	04:30:00	7427.6	7429.3	7425.1	7429.3	95	0	30
2022.01.04	04:45:00	7429.1	7431.6	7428.3	7429.6	232	0	30
2022.01.04	05:00:00	7429.8	7430.8	7426.3	7428.6	167	0	30
2022.01.04	05:15:00	7428.8	7436.3	7428.3	7435.8	134	0	30
2022.01.04	05:30:00	7436.1	7437.6	7433.3	7437.3	136	0	30
2022.01.04	05:45:00	7437.8	7438.8	7436.3	7436.6	129	0	30
2022.01.04	06:00:00	7436.3	7437.8	7435.3	7436.8	118	0	30
2022.01.04	06:15:00	7436.1	7442.6	7435.8	7442.3	163	0	30
2022.01.04	06:30:00	7442.1	7443.8	7440.6	7440.8	139	0	30
2022.01.04	06:45:00	7441.1	7447.6	7440.6	7447.3	82	0	30
2022.01.04	07:00:00	7447.6	7450.3	7447.1	7448.8	104	0	30
2022.01.04	07:15:00	7449.1	7452.1	7447.8	7452.1	87	0	30
2022.01.04	07:30:00	7451.8	7455.8	7450.3	7455.1	145	0	30
2022.01.04	07:45:00	7455.3	7459.8	7455.1	7458.1	115	0	30
2022.01.04	08:00:00	7457.8	7460.1	7456.3	7458.8	157	0	30
2022.01.04	08:15:00	7459.1	7459.1	7452.3	7454.8	133	0	30
2022.01.04	08:30:00	7454.3	7459.8	7454.1	7459.3	97	0	30
2022.01.04	08:45:00	7459.1	7462.6	7455.1	7457.8	230	0	30
2022.01.04	09:00:00	7458.3	7458.8	7452.1	7458.6	353	0	20
2022.01.04	09:15:00	7458.8	7460.3	7454.6	7457.3	344	0	20
2022.01.04	09:30:00	7457.6	7460.8	7454.6	7457.8	275	0	20
2022.01.04	09:45:00	7458.1	7479.1	7453.6	7478.6	313	0	20
2022.01.04	10:00:00	7479.1	7483.1	7451.3	7455.3	1510	0	10
2022.01.04	10:15:00	7455.1	7471.6	7455.1	7465.3	819	0	10
2022.01.04	10:30:00	7465.1	7481.2	7463.1	7480.9	680	0	10
2022.01.04	10:45:00	7480.7	7485.9	7474.7	7482.7	726	0	10
2022.01.04	11:00:00	7482.4	7484.7	7473.4	7480.7	555	0	10
2022.01.04	11:15:00	7480.2	7481.2	7474.7	7475.4	407	0	10
2022.01.04	11:30:00	7475.2	7476.7	7462.9	7475.7	482	0	10
2022.01.04	11:45:00	7475.2	7476.2	7468.7	7471.7	393	0	10
2022.01.04	12:00:00	7472.2	7477.2	7471.2	7474.9	363	0	10
2022.01.04	12:15:00	7474.7	7478.7	7471.7	7475.9	344	0	10
2022.01.04	12:30:00	7476.2	7483.7	7475.7	7483.2	420	0	10
2022.01.04	12:45:00	7482.9	7484.2	7474.2	7477.2	368	0	10
2022.01.04	13:00:00	7476.9	7485.2	7475.2	7479.7	327	0	10
2022.01.04	13:15:00	7479.4	7482.2	7477.7	7478.7	305	0	10
2022.01.04	13:30:00	7479.4	7485.7	7478.9	7482.4	266	0	10
2022.01.04	13:45:00	7482.2	7485.2	7479.2	7479.9	264	0	10
2022.01.04	14:00:00	7479.4	7488.9	7479.2	7488.4	275	0	10
2022.01.04	14:15:00	7488.7	7490.7	7486.7	7487.2	296	0	10
2022.01.04	14:30:00	7486.9	7489.7	7484.7	7488.6	303	0	10
2022.01.04	14:45:00	7488.4	7490.1	7486.9	7489.6	255	0	10
2022.01.04	15:00:00	7489.9	7492.6	7487.9	7492.1	204	0	10
2022.01.04	15:15:00	7491.9	7493.4	7490.4	7492.1	247	0	10
2022.01.04	15:30:00	7492.4	7492.9	7487.9	7492.4	187	0	10
2022.01.04	15:45:00	7491.9	7493.6	7489.9	7491.9	180	0	10
2022.01.04	16:00:00	7492.4	7496.4	7486.9	7495.9	238	0	10
2022.01.04	16:15:00	7495.4	7500.1	7495.4	7497.4	262	0	10
2022.01.04	16:30:00	7497.6	7504.9	7495.9	7502.9	613	0	10
2022.01.04	16:45:00	7503.1	7513.9	7501.1	7511.1	676	0	10
2022.01.04	17:00:00	7512.6	7513.6	7498.9	7509.8	854	0	10
2022.01.04	17:15:00	7509.6	7521.6	7506.6	7521.6	706	0	10
2022.01.04	17:30:00	7521.8	7522.6	7510.1	7511.1	858	0	10
2022.01.04	17:45:00	7510.6	7517.3	7509.1	7510.8	763	0	10
2022.01.04	18:00:00	7511.1	7511.6	7500.1	7505.3	1027	0	10
2022.01.04	18:15:00	7505.6	7505.8	7490.6	7497.8	753	0	10
2022.01.04	18:30:00	7497.6	7507.6	7491.1	7507.6	1022	0	20
2022.01.04	18:45:00	7507.3	7511.1	7505.6	7507.6	372	0	20
2022.01.04	19:00:00	7507.8	7511.6	7504.6	7511.3	341	0	20
2022.01.04	19:15:00	7511.1	7512.6	7508.1	7508.6	261	0	20
2022.01.04	19:30:00	7508.3	7511.1	7507.3	7508.8	308	0	20
2022.01.04	19:45:00	7509.1	7509.6	7503.1	7504.6	228	0	20
2022.01.04	20:00:00	7504.3	7505.1	7501.3	7501.6	286	0	20
2022.01.04	20:15:00	7501.8	7502.6	7493.6	7493.6	334	0	20
2022.01.04	20:30:00	7493.8	7494.6	7484.1	7490.1	446	0	20
2022.01.04	20:45:00	7489.8	7491.3	7486.1	7486.8	400	0	20
2022.01.04	21:00:00	7487.1	7493.3	7486.8	7491.1	367	0	20
2022.01.04	21:15:00	7491.3	7493.1	7489.1	7492.1	295	0	20
2022.01.04	21:30:00	7491.6	7495.6	7491.6	7495.6	332	0	20
2022.01.04	21:45:00	7495.8	7497.6	7494.1	7496.1	274	0	20
2022.01.04	22:00:00	7496.3	7501.1	7496.1	7500.6	230	0	20
2022.01.04	22:15:00	7500.3	7504.3	7498.6	7503.6	316	0	20
2022.01.04	22:30:00	7503.3	7503.6	7499.1	7500.1	467	0	20
2022.01.04	22:45:00	7499.6	7501.6	7492.1	7494.1	553	0	20
2022.01.04	23:00:00	7493.3	7495.9	7489.5	7490.2	365	0	40
2022.01.04	23:15:00	7490.9	7494.6	7489.0	7492.3	191	0	40
2022.01.04	23:30:00	7491.9	7493.5	7490.0	7493.0	69	0	40
2022.01.04	23:45:00	7493.1	7493.1	7490.7	7492.2	67	0	40
2022.01.05	00:00:00	7492.2	7492.2	7491.5	7491.7	33	0	40
2022.01.05	00:15:00	7491.5	7491.9	7491.0	7491.5	28	0	40
2022.01.05	00:30:00	7491.8	7492.7	7491.0	7492.3	25	0	40
2022.01.05	00:45:00	7492.4	7492.9	7492.2	7492.8	33	0	40
2022.01.05	01:00:00	7493.3	7494.1	7488.6	7489.2	171	0	40
2022.01.05	01:15:00	7489.4	7489.4	7483.8	7485.9	245	0	40
2022.01.05	01:30:00	7485.5	7486.1	7483.3	7484.2	194	0	40
2022.01.05	01:45:00	7484.4	7484.6	7481.4	7482.6	192	0	40
2022.01.05	02:00:00	7482.7	7484.5	7479.1	7480.9	400	0	40
2022.01.05	02:15:00	7481.3	7483.4	7477.3	7479.6	320	0	40
2022.01.05	02:30:00	7479.5	7481.4	7476.1	7480.5	299	0	40
2022.01.05	02:45:00	7480.2	7484.9	7479.0	7484.2	253	0	40
2022.01.05	03:00:00	7484.2	7489.6	7480.1	7485.1	259	0	30
2022.01.05	03:15:00	7485.3	7489.1	7484.1	7484.6	282	0	30
2022.01.05	03:30:00	7484.3	7484.3	7474.3	7474.3	322	0	30
2022.01.05	03:45:00	7473.8	7473.8	7465.6	7468.3	296	0	30
2022.01.05	04:00:00	7469.1	7470.8	7464.1	7469.8	302	0	30
2022.01.05	04:15:00	7469.6	7472.8	7468.6	7469.3	287	0	30
2022.01.05	04:30:00	7469.1	7471.8	7467.8	7468.8	196	0	30
2022.01.05	04:45:00	7469.1	7474.1	7468.8	7474.1	284	0	30
2022.01.05	05:00:00	7474.8	7475.6	7469.6	7469.8	217	0	30
2022.01.05	05:15:00	7469.6	7470.3	7467.1	7469.8	199	0	30
2022.01.05	05:30:00	7470.1	7474.3	7468.3	7474.3	229	0	30
2022.01.05	05:45:00	7474.8	7476.3	7472.3	7475.6	164	0	30
2022.01.05	06:00:00	7476.1	7476.1	7471.3	7471.8	98	0	30
2022.01.05	06:15:00	7472.1	7472.8	7470.6	7472.6	105	0	30
2022.01.05	06:30:00	7472.3	7475.3	7470.8	7474.3	101	0	30
2022.01.05	06:45:00	7474.6	7475.1	7473.1	7474.3	97	0	30
2022.01.05	07:00:00	7474.1	7474.8	7469.8	7472.8	145	0	30
2022.01.05	07:15:00	7472.6	7473.3	7467.3	7468.8	235	0	30
2022.01.05	07:30:00	7469.1	7471.6	7467.1	7469.8	175	0	30
2022.01.05	07:45:00	7470.1	7470.1	7467.3	7467.3	175	0	30
2022.01.05	08:00:00	7467.6	7469.3	7464.3	7466.3	190	0	30
2022.01.05	08:15:00	7466.6	7469.6	7465.3	7469.6	128	0	30
2022.01.05	08:30:00	7469.3	7477.1	7466.8	7476.8	218	0	30
2022.01.05	08:45:00	7476.6	7479.6	7474.8	7476.6	175	0	30
