<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.01.03	01:00:00	36446.3	36454.3	36412.3	36436.3	814	0	48
2022.01.03	01:15:00	36437.8	36465.3	36437.3	36450.3	494	0	48
2022.01.03	01:30:00	36449.8	36456.3	36428.3	36435.3	273	0	48
2022.01.03	01:45:00	36434.3	36446.8	36433.3	36443.3	225	0	48
2022.01.03	02:00:00	36444.3	36457.8	36441.3	36442.8	320	0	48
2022.01.03	02:15:00	36442.8	36479.3	36439.3	36478.3	447	0	48
2022.01.03	02:30:00	36477.3	36498.3	36470.8	36496.8	506	0	48
2022.01.03	02:45:00	36497.3	36517.8	36491.3	36511.3	478	0	48
2022.01.03	03:00:00	36511.8	36522.3	36498.3	36517.3	508	0	48
2022.01.03	03:15:00	36517.8	36527.3	36508.8	36510.3	445	0	48
2022.01.03	03:30:00	36511.3	36515.3	36456.3	36463.3	719	0	48
2022.01.03	03:45:00	36462.3	36477.8	36452.3	36466.3	586	0	48
2022.01.03	04:00:00	36465.3	36466.3	36448.3	36463.3	644	0	48
2022.01.03	04:15:00	36463.8	36465.8	36456.3	36461.3	328	0	48
2022.01.03	04:30:00	36461.3	36478.8	36457.3	36469.3	354	0	48
2022.01.03	04:45:00	36468.8	36474.8	36455.8	36467.8	291	0	48
2022.01.03	05:00:00	36467.3	36474.8	36447.3	36447.3	285	0	48
2022.01.03	05:15:00	36447.8	36460.8	36442.3	36459.3	278	0	48
2022.01.03	05:30:00	36460.3	36463.3	36447.3	36459.3	224	0	48
2022.01.03	05:45:00	36458.8	36465.8	36455.3	36461.8	188	0	48
2022.01.03	06:00:00	36462.3	36463.3	36450.8	36450.8	169	0	48
2022.01.03	06:15:00	36450.3	36459.3	36450.3	36454.3	122	0	48
2022.01.03	06:30:00	36454.3	36458.3	36453.3	36455.3	106	0	48
2022.01.03	06:45:00	36454.3	36458.3	36446.3	36457.3	182	0	48
2022.01.03	07:00:00	36457.3	36465.3	36451.8	36455.3	245	0	48
2022.01.03	07:15:00	36454.8	36461.3	36452.3	36454.8	181	0	48
2022.01.03	07:30:00	36454.3	36469.3	36450.8	36469.3	183	0	48
2022.01.03	07:45:00	36469.3	36470.3	36461.3	36463.3	162	0	48
2022.01.03	08:00:00	36463.3	36471.8	36438.3	36440.3	286	0	48
2022.01.03	08:15:00	36441.3	36444.3	36426.3	36438.3	313	0	48
2022.01.03	08:30:00	36438.3	36444.8	36424.3	36439.3	378	0	48
2022.01.03	08:45:00	36440.3	36457.8	36438.3	36456.3	247	0	48
2022.01.03	09:00:00	36456.4	36460.9	36432.9	36435.9	432	0	36
2022.01.03	09:15:00	36433.9	36433.9	36407.4	36424.4	407	0	36
2022.01.03	09:30:00	36425.9	36438.9	36422.9	36435.4	353	0	36
2022.01.03	09:45:00	36434.9	36467.9	36434.9	36456.9	564	0	36
2022.01.03	10:00:00	36456.9	36481.9	36448.9	36469.9	1291	0	36
2022.01.03	10:15:00	36469.9	36483.4	36467.4	36477.9	787	0	36
2022.01.03	10:30:00	36478.4	36491.4	36471.9	36477.9	569	0	36
2022.01.03	10:45:00	36478.4	36483.9	36460.9	36465.9	603	0	36
2022.01.03	11:00:00	36465.9	36467.4	36408.9	36446.9	732	0	36
2022.01.03	11:15:00	36447.4	36461.4	36433.4	36456.9	705	0	36
