<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.01.03	01:00:00	1828.40	1831.74	1828.10	1830.51	739	0	5
2022.01.03	01:15:00	1830.48	1830.76	1829.00	1829.33	318	0	19
2022.01.03	01:30:00	1829.23	1829.42	1828.44	1828.44	265	0	18
2022.01.03	01:45:00	1828.44	1828.51	1827.95	1828.44	202	0	18
2022.01.03	02:00:00	1828.42	1828.46	1827.48	1827.49	228	0	12
2022.01.03	02:15:00	1827.49	1829.09	1827.02	1828.98	547	0	8
2022.01.03	02:30:00	1828.98	1831.01	1828.40	1829.48	713	0	6
2022.01.03	02:45:00	1829.46	1830.54	1829.33	1830.27	787	0	11
2022.01.03	03:00:00	1830.20	1831.16	1829.64	1830.91	633	0	11
2022.01.03	03:15:00	1830.91	1831.59	1830.84	1831.16	534	0	10
2022.01.03	03:30:00	1831.16	1831.16	1827.92	1828.18	979	0	5
2022.01.03	03:45:00	1828.17	1829.03	1827.60	1828.81	560	0	7
2022.01.03	04:00:00	1828.80	1828.89	1826.61	1826.99	556	0	5
2022.01.03	04:15:00	1826.99	1827.73	1826.66	1827.70	345	0	8
2022.01.03	04:30:00	1827.70	1827.73	1825.66	1826.75	568	0	5
2022.01.03	04:45:00	1826.75	1826.93	1825.97	1826.15	296	0	8
2022.01.03	05:00:00	1826.15	1826.91	1825.73	1826.57	326	0	13
2022.01.03	05:15:00	1826.57	1826.57	1824.54	1825.32	632	0	5
2022.01.03	05:30:00	1825.32	1825.33	1824.22	1824.92	444	0	10
2022.01.03	05:45:00	1824.92	1825.75	1824.52	1825.70	417	0	12
2022.01.03	06:00:00	1825.70	1825.79	1824.97	1825.45	407	0	10
2022.01.03	06:15:00	1825.47	1825.93	1825.37	1825.84	265	0	8
2022.01.03	06:30:00	1825.84	1826.00	1825.49	1825.59	262	0	6
2022.01.03	06:45:00	1825.59	1825.62	1824.58	1825.17	241	0	12
2022.01.03	07:00:00	1825.17	1825.40	1824.72	1824.79	151	0	14
2022.01.03	07:15:00	1824.79	1824.79	1823.67	1824.23	260	0	5
2022.01.03	07:30:00	1824.23	1825.37	1824.12	1825.33	546	0	8
2022.01.03	07:45:00	1825.33	1825.77	1825.04	1825.47	216	0	8
2022.01.03	08:00:00	1825.47	1825.74	1824.79	1825.06	359	0	6
2022.01.03	08:15:00	1825.06	1825.06	1823.67	1823.94	342	0	9
2022.01.03	08:30:00	1823.94	1825.01	1823.68	1824.86	495	0	9
2022.01.03	08:45:00	1824.83	1825.47	1824.80	1825.30	398	0	9
2022.01.03	09:00:00	1825.36	1825.40	1821.04	1822.90	1057	0	5
2022.01.03	09:15:00	1822.89	1823.69	1821.97	1822.37	843	0	5
2022.01.03	09:30:00	1822.37	1823.34	1822.20	1822.71	428	0	8
2022.01.03	09:45:00	1822.74	1824.19	1822.37	1824.19	681	0	6
2022.01.03	10:00:00	1824.19	1824.33	1822.72	1823.20	1006	0	5
2022.01.03	10:15:00	1823.20	1823.34	1821.82	1822.24	954	0	6
2022.01.03	10:30:00	1822.24	1822.24	1821.35	1822.02	898	0	11
2022.01.03	10:45:00	1822.02	1823.20	1821.99	1822.85	915	0	6
2022.01.03	11:00:00	1822.86	1825.06	1822.46	1825.01	1204	0	5
2022.01.03	11:15:00	1824.93	1825.13	1824.08	1824.33	820	0	8
2022.01.03	11:30:00	1824.32	1825.14	1824.11	1825.07	952	0	5
2022.01.03	11:45:00	1825.07	1826.66	1825.01	1826.40	1006	0	5
2022.01.03	12:00:00	1826.40	1827.49	1826.34	1827.16	1005	0	8
2022.01.03	12:15:00	1827.16	1827.52	1825.83	1825.86	628	0	5
2022.01.03	12:30:00	1825.86	1826.27	1825.56	1825.58	587	0	8
2022.01.03	12:45:00	1825.55	1826.87	1825.54	1826.46	717	0	7
2022.01.03	13:00:00	1826.47	1827.06	1825.72	1825.81	828	0	7
2022.01.03	13:15:00	1825.80	1826.29	1824.14	1824.18	1051	0	7
2022.01.03	13:30:00	1824.18	1824.88	1823.54	1823.54	600	0	7
2022.01.03	13:45:00	1823.54	1823.62	1822.30	1822.87	638	0	6
2022.01.03	14:00:00	1822.87	1823.24	1822.06	1822.28	848	0	5
2022.01.03	14:15:00	1822.31	1822.96	1821.82	1822.17	914	0	5
2022.01.03	14:30:00	1822.21	1822.39	1821.47	1822.07	1083	0	7
2022.01.03	14:45:00	1822.01	1822.16	1821.28	1821.77	1018	0	7
2022.01.03	15:00:00	1821.77	1822.03	1813.36	1814.62	2211	0	5
2022.01.03	15:15:00	1814.62	1815.22	1810.73	1812.66	2490	0	5
2022.01.03	15:30:00	1812.64	1813.00	1807.39	1808.91	3169	0	5
2022.01.03	15:45:00	1808.91	1809.22	1805.70	1807.08	2864	0	5
2022.01.03	16:00:00	1807.08	1810.88	1806.72	1809.01	2916	0	5
2022.01.03	16:15:00	1809.01	1809.67	1807.06	1807.50	1953	0	5
2022.01.03	16:30:00	1807.37	1809.05	1804.39	1807.14	3309	0	5
2022.01.03	16:45:00	1807.14	1809.04	1802.83	1802.90	3397	0	5
2022.01.03	17:00:00	1802.90	1805.28	1800.01	1801.52	3318	0	5
2022.01.03	17:15:00	1801.49	1806.67	1799.77	1803.68	3342	0	5
2022.01.03	17:30:00	1803.61	1804.72	1801.26	1802.92	2445	0	5
2022.01.03	17:45:00	1802.97	1803.12	1801.63	1801.93	1911	0	5
2022.01.03	18:00:00	1801.90	1801.95	1798.32	1800.17	2222	0	5
2022.01.03	18:15:00	1800.17	1800.94	1798.77	1800.35	1952	0	5
2022.01.03	18:30:00	1800.35	1800.42	1798.84	1798.94	2188	0	5
2022.01.03	18:45:00	1798.94	1801.05	1798.74	1800.72	1880	0	5
2022.01.03	19:00:00	1800.72	1801.02	1799.09	1799.27	1129	0	5
2022.01.03	19:15:00	1799.29	1799.93	1798.82	1799.51	939	0	5
2022.01.03	19:30:00	1799.51	1800.05	1798.90	1799.39	766	0	5
2022.01.03	19:45:00	1799.39	1800.20	1799.07	1799.72	879	0	5
2022.01.03	20:00:00	1799.66	1800.58	1799.34	1799.99	860	0	5
2022.01.03	20:15:00	1799.97	1800.55	1799.05	1800.54	897	0	5
2022.01.03	20:30:00	1800.54	1802.17	1799.87	1802.12	843	0	5
2022.01.03	20:45:00	1802.12	1802.21	1801.47	1801.65	801	0	5
2022.01.03	21:00:00	1801.65	1802.76	1801.07	1801.89	689	0	5
2022.01.03	21:15:00	1801.85	1802.08	1801.49	1802.02	603	0	7
2022.01.03	21:30:00	1802.03	1802.63	1802.02	1802.60	351	0	8
2022.01.03	21:45:00	1802.60	1803.02	1801.70	1801.72	634	0	5
2022.01.03	22:00:00	1801.73	1802.15	1801.17	1801.57	603	0	7
2022.01.03	22:15:00	1801.58	1802.23	1801.54	1802.23	512	0	5
2022.01.03	22:30:00	1802.23	1803.93	1802.23	1803.80	817	0	5
2022.01.03	22:45:00	1803.80	1804.58	1801.72	1801.72	1319	0	5
2022.01.03	23:00:00	1801.74	1802.14	1801.50	1802.10	385	0	13
2022.01.03	23:15:00	1802.13	1802.23	1801.81	1801.93	221	0	17
2022.01.03	23:30:00	1801.90	1801.94	1801.29	1801.29	320	0	11
2022.01.03	23:45:00	1801.30	1801.53	1800.90	1801.17	341	0	19
2022.01.04	01:00:00	1800.71	1803.33	1800.53	1803.21	391	0	12
2022.01.04	01:15:00	1803.20	1803.61	1802.77	1803.38	239	0	11
2022.01.04	01:30:00	1803.38	1803.81	1803.15	1803.81	178	0	13
2022.01.04	01:45:00	1803.81	1804.30	1803.56	1804.17	208	0	14
2022.01.04	02:00:00	1804.17	1804.89	1803.77	1804.14	757	0	7
2022.01.04	02:15:00	1804.14	1804.28	1802.88	1803.59	553	0	7
2022.01.04	02:30:00	1803.48	1804.66	1803.48	1804.23	462	0	9
2022.01.04	02:45:00	1804.20	1804.66	1803.88	1804.47	658	0	8
2022.01.04	03:00:00	1804.37	1806.84	1804.36	1804.77	2160	0	5
2022.01.04	03:15:00	1804.81	1804.86	1803.36	1804.09	1520	0	5
2022.01.04	03:30:00	1804.09	1804.48	1803.20	1804.43	1520	0	7
2022.01.04	03:45:00	1804.36	1805.26	1804.04	1805.18	1148	0	8
2022.01.04	04:00:00	1805.18	1805.75	1804.63	1805.15	784	0	5
2022.01.04	04:15:00	1805.11	1807.11	1805.07	1806.76	447	0	5
2022.01.04	04:30:00	1806.76	1807.00	1805.41	1805.50	724	0	5
2022.01.04	04:45:00	1805.67	1806.13	1805.17	1805.38	834	0	5
2022.01.04	05:00:00	1805.38	1806.18	1804.18	1804.78	1098	0	5
2022.01.04	05:15:00	1804.78	1804.99	1803.98	1804.67	674	0	7
2022.01.04	05:30:00	1804.67	1804.88	1804.57	1804.85	451	0	5
2022.01.04	05:45:00	1804.85	1804.85	1803.79	1804.17	358	0	5
2022.01.04	06:00:00	1804.17	1804.28	1803.64	1803.71	417	0	7
2022.01.04	06:15:00	1803.71	1804.06	1803.14	1803.72	560	0	5
2022.01.04	06:30:00	1803.72	1804.12	1803.34	1803.62	440	0	5
2022.01.04	06:45:00	1803.62	1803.86	1803.37	1803.49	424	0	6
2022.01.04	07:00:00	1803.49	1804.45	1803.23	1804.12	457	0	6
2022.01.04	07:15:00	1804.12	1804.45	1804.05	1804.24	304	0	8
2022.01.04	07:30:00	1804.24	1805.17	1803.97	1804.99	848	0	5
2022.01.04	07:45:00	1804.99	1805.50	1804.67	1805.41	782	0	7
2022.01.04	08:00:00	1805.41	1806.01	1805.00	1805.78	736	0	5
2022.01.04	08:15:00	1805.78	1806.00	1803.77	1803.78	771	0	5
2022.01.04	08:30:00	1803.78	1804.85	1803.68	1804.52	903	0	5
2022.01.04	08:45:00	1804.52	1804.62	1803.41	1803.46	621	0	10
2022.01.04	09:00:00	1803.45	1804.70	1803.22	1803.71	1070	0	6
2022.01.04	09:15:00	1803.71	1806.46	1803.44	1806.16	1226	0	5
2022.01.04	09:30:00	1806.16	1807.42	1805.36	1805.37	1304	0	5
2022.01.04	09:45:00	1805.37	1806.05	1804.69	1805.77	1008	0	6
2022.01.04	10:00:00	1805.79	1806.48	1804.21	1805.99	1578	0	5
2022.01.04	10:15:00	1805.99	1806.79	1804.50	1806.65	1476	0	5
2022.01.04	10:30:00	1806.64	1806.84	1804.63	1804.83	1130	0	5
2022.01.04	10:45:00	1804.81	1805.01	1803.33	1803.99	935	0	5
2022.01.04	11:00:00	1803.98	1804.41	1801.92	1804.24	1348	0	5
2022.01.04	11:15:00	1804.24	1806.00	1803.23	1805.71	1048	0	6
2022.01.04	11:30:00	1805.71	1806.71	1805.68	1805.77	1216	0	5
2022.01.04	11:45:00	1805.77	1806.23	1805.04	1805.69	1070	0	5
2022.01.04	12:00:00	1805.70	1806.45	1805.30	1806.06	918	0	5
2022.01.04	12:15:00	1806.03	1807.32	1805.70	1806.18	1071	0	8
2022.01.04	12:30:00	1806.13	1808.62	1806.13	1806.51	1260	0	5
2022.01.04	12:45:00	1806.51	1806.71	1805.39	1805.61	737	0	8
2022.01.04	13:00:00	1805.62	1805.63	1803.95	1804.24	848	0	7
2022.01.04	13:15:00	1804.24	1804.45	1802.39	1803.16	1095	0	7
2022.01.04	13:30:00	1803.20	1803.81	1802.42	1803.34	1267	0	5
2022.01.04	13:45:00	1803.29	1804.43	1802.94	1804.01	1090	0	5
2022.01.04	14:00:00	1804.01	1805.02	1801.65	1801.94	1503	0	5
2022.01.04	14:15:00	1801.94	1802.35	1798.52	1799.39	2097	0	5
2022.01.04	14:30:00	1799.36	1801.86	1799.35	1800.45	1874	0	5
2022.01.04	14:45:00	1800.45	1801.72	1799.59	1801.20	1361	0	5
2022.01.04	15:00:00	1801.22	1803.00	1799.77	1802.40	2361	0	5
2022.01.04	15:15:00	1802.41	1804.30	1801.74	1802.99	2840	0	5
2022.01.04	15:30:00	1802.99	1805.26	1802.60	1804.27	2267	0	5
